torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6,
15.830941,13.463082,14.763361,-48.171856,6.3861504,-1.114473,0.69105244,0.6503302,-0.16009282,0.41878945,-0.17874116,0.3585224,0.43208033,0.553275,0.861192,-0.0116458405,1.3751994,1.2056254,1.6435883,-0.8618045,1.6286025,0.79902047,0.004405981,1.3351563,1.2232802,1.6088939,-0.9042233,1.5739664,0.5722841,0.008508159,0.3671756,-0.043778215,0.23151876,0.15780653,0.13819197,0.57229996,0.008507818,0.3671646,-0.04386902,0.23155212,0.1578331,0.13828278,2.7272072,-0.50751734,0.44847104,-3.0802708,0.25615147,4.630071,0.34342194,-0.32378745,0.9086572,0.77607733,-0.05934107,0.61511433,-0.12576567,0.2956783,0.3161508,0.050086796,1,0,0,0,0,0,0,0,0,13.807833,-9.286091,9.236944,-7.75733,10.689324,5.0429163,3.6134348,13.809204,-9.286106,9.231567,-7.7819824,10.681152,5.054474,3.6239624
12.997561,8.654169,11.992703,-49.134853,6.6838923,-0.78872764,0.6929835,0.6833161,-0.21145737,0.4477876,-0.22100994,0.39739904,0.45585686,0.5887091,0.86735207,-0.016739756,1.379935,1.2011791,1.6486337,-0.85863763,1.6328373,0.80221003,0.0041950736,1.337222,1.2228501,1.6103206,-0.9033021,1.5747455,0.6379263,-0.042181335,0.41308263,-0.086088665,0.285271,0.1842167,0.15573835,0.63791275,-0.042181462,0.4131317,-0.08602142,0.28533936,0.18424988,0.15583038,2.7118063,-0.50623655,0.4713748,-3.0802708,0.25615147,4.580755,0.34494686,-0.3220942,0.909039,0.7769888,-0.06021632,0.6143566,-0.12340262,0.30442485,0.3392474,0.07633128,1,0,0,0,0,0,0,0,0,13.128435,-10.137899,9.181404,-8.4620905,10.750445,5.2820325,3.509277,13.122559,-10.137856,9.19342,-8.430481,10.757446,5.2833557,3.5095215
9.664782,3.1115227,8.747995,-50.13326,6.9906816,-0.40300524,0.68575585,0.71190095,-0.26694486,0.4740588,-0.269726,0.43105182,0.47851092,0.6193348,0.87340015,-0.022499412,1.3846278,1.1958774,1.6534257,-0.855451,1.636679,0.8057081,0.0037073614,1.3395127,1.2221882,1.6120105,-0.902244,1.5756077,0.69959027,-0.097542614,0.45823482,-0.13230494,0.3379819,0.2116265,0.17245758,0.6996155,-0.09754244,0.45814514,-0.13237,0.33798218,0.21162033,0.17242432,2.6964054,-0.50495577,0.494032,-3.0802708,0.25615147,4.5314393,0.34649563,-0.32030082,0.9095614,0.7781048,-0.06111467,0.61337703,-0.12077444,0.3088911,0.35937586,0.10441628,1,0,0,0,0,0,0,0,0,12.332797,-11.072256,9.030437,-9.243255,10.542184,5.4819613,3.3438444,12.340546,-11.072196,9.002686,-9.269714,10.528564,5.4740906,3.3187866
7.0211034,-1.1190991,6.1978927,-51.032406,7.2231617,-0.100142,0.67270464,0.7387789,-0.31803656,0.50136006,-0.31775963,0.46252733,0.50053746,0.6504532,0.879586,-0.028096296,1.3896487,1.1904123,1.6582632,-0.85219026,1.640653,0.80949515,0.0029269485,1.3420275,1.2212794,1.613956,-0.9010447,1.5765499,0.757452,-0.15608247,0.5029012,-0.18185185,0.38907903,0.23981328,0.18837352,0.75740814,-0.15608259,0.50296783,-0.18177032,0.38909912,0.23984909,0.18844604,2.6810045,-0.503675,0.5164426,-3.0802708,0.25615147,4.4821234,0.3480487,-0.31841922,0.9102312,0.7794246,-0.06202792,0.6121694,-0.11789175,0.3098376,0.3771335,0.13401063,1,0,0,0,0,0,0,0,0,11.57235,-11.707971,8.933276,-9.909383,10.219425,5.6373568,3.183189,11.558533,-11.708029,8.964539,-9.880066,10.223389,5.645752,3.2043457
5.3207116,-3.3944597,4.609112,-50.06926,7.1225553,0.1003505,0.6645696,0.75970864,-0.3549021,0.52490747,-0.33696443,0.48832265,0.5160842,0.6718762,0.88546604,-0.03256326,1.3945183,1.187583,1.6627883,-0.8494363,1.6437376,0.8135497,0.0018555216,1.3447598,1.2201378,1.6161437,-0.8997034,1.5775656,0.8109041,-0.21428525,0.5465125,-0.22840044,0.43749303,0.26830336,0.20304734,0.8109093,-0.21428537,0.5464554,-0.22830963,0.43754578,0.2682686,0.20313263,2.6656036,-0.5023942,0.53860664,-3.0802708,0.25615147,4.4328074,0.34959793,-0.31646013,0.91104096,0.78093684,-0.06294501,0.61074096,-0.11476524,0.30883697,0.39259717,0.16208361,1,0,0,0,0,0,0,0,0,10.690414,-11.640557,8.722258,-9.309718,9.682798,5.698016,2.934763,10.700226,-11.640557,8.69751,-9.307861,9.689331,5.683899,2.937317
4.612436,-3.5680838,4.0077286,-49.55064,6.9706497,0.18995237,0.63388747,0.7790619,-0.38112792,0.546126,-0.3630456,0.50960684,0.531547,0.69237125,0.8914559,-0.03625727,1.3993725,1.1838332,1.6671044,-0.8465487,1.6468027,0.81785077,0.0005076901,1.3477029,1.2187731,1.6185565,-0.8982185,1.578648,0.86020195,-0.26956627,0.5886523,-0.27293634,0.4825128,0.29694098,0.21646558,0.86021423,-0.2695663,0.5886078,-0.2729416,0.4825592,0.29697418,0.21648407,2.6502028,-0.5011134,0.5605241,-3.0802708,0.25615147,4.3834915,0.3511386,-0.31443024,0.9119856,0.7826263,-0.06386122,0.60910213,-0.11141109,0.30678833,0.40687162,0.18896453,1,0,0,0,0,0,0,0,0,9.859573,-11.056203,8.427965,-8.907181,9.003955,5.727524,2.6836486,9.860992,-11.056185,8.430481,-8.926392,9.002686,5.7411194,2.670288
3.1275148,-5.212119,2.654659,-49.123295,6.9018583,0.36672544,0.611997,0.79540026,-0.41545135,0.5646729,-0.38994092,0.532821,0.5473638,0.71064854,0.8973908,-0.041037444,1.4041702,1.179779,1.6718386,-0.84348214,1.6497128,0.8223774,-0.0011102383,1.3508481,1.2171929,1.621181,-0.8965901,1.5797914,0.9053575,-0.3235857,0.6290068,-0.31605354,0.52486974,0.3257035,0.2286204,0.905323,-0.3235857,0.6290436,-0.31604767,0.52490234,0.32567978,0.2286911,2.6348019,-0.49983263,0.582195,-3.0802708,0.25615147,4.3341756,0.3526616,-0.31233788,0.9130599,0.78448105,-0.06476839,0.6072598,-0.10784273,0.3028615,0.41923344,0.21500042,1,0,0,0,0,0,0,0,0,9.031105,-10.8038845,8.070898,-8.623439,8.471388,5.752504,2.4309635,9.021759,-10.803879,8.087158,-8.621216,8.468628,5.7411194,2.4414062
0.6143617,-8.935869,0.30250713,-48.46833,6.8922906,0.657844,0.60261613,0.80887717,-0.4607132,0.5825434,-0.41478953,0.5510744,0.5637169,0.7276218,0.9032651,-0.047181558,1.4091024,1.1757139,1.6762885,-0.8402184,1.6525536,0.8271095,-0.0030048823,1.3541859,1.2154047,1.624001,-0.8948177,1.5809892,0.9463924,-0.3789289,0.66765636,-0.35764706,0.5640195,0.35449556,0.23956509,0.9464264,-0.3789288,0.667572,-0.35762787,0.564003,0.35448074,0.23956299,2.619401,-0.49855185,0.6036193,-3.0802708,0.25615147,4.2848597,0.35415077,-0.31019926,0.9142596,0.78649193,-0.065654926,0.60521793,-0.10407218,0.29611745,0.42854425,0.24010272,1,0,0,0,0,0,0,0,0,8.206987,-11.068642,7.729912,-8.318705,7.8299522,5.7584105,2.1889389,8.220673,-11.0686245,7.7056885,-8.31604,7.8201294,5.760193,2.1743774
-0.39388582,-9.601864,-0.55573726,-48.155334,6.7851515,0.77724534,0.5708001,0.8203889,-0.486689,0.59844697,-0.44033086,0.5667087,0.5771726,0.7430531,0.9091484,-0.051673785,1.4140307,1.1713717,1.6806719,-0.83710045,1.6552945,0.83202714,-0.0051643704,1.3577079,1.2134144,1.6270003,-0.89290273,1.5822357,0.98349667,-0.4318977,0.7044692,-0.39811936,0.5997767,0.38295797,0.24935843,0.9835243,-0.43189764,0.70438385,-0.39806366,0.59986115,0.3829956,0.24929047,2.604,-0.49727106,0.624797,-3.0802708,0.25615147,4.2355437,0.35560083,-0.3080213,0.91558045,0.78864527,-0.06651612,0.6029853,-0.10011458,0.28802153,0.4363826,0.2643708,1,0,0,0,0,0,0,0,0,7.42085,-10.59376,7.3625684,-8.09446,7.151437,5.692482,1.9586682,7.419586,-10.593766,7.3623657,-8.087158,7.171631,5.7029724,1.9454956
-1.933846,-11.358826,-1.9278549,-47.86316,6.7273684,0.9554992,0.5445554,0.83116853,-0.52092445,0.6118527,-0.46662396,0.5789979,0.5925518,0.7580254,0.91514397,-0.057256814,1.4188931,1.166752,1.6849002,-0.83364755,1.6580383,0.8371126,-0.0075841215,1.3614043,1.2112248,1.6301599,-0.8908471,1.583526,1.0170672,-0.48395014,0.7392565,-0.43787053,0.6318937,0.4110935,0.25812533,1.0170937,-0.48395023,0.73928833,-0.43792725,0.6319046,0.411129,0.25806427,2.5885992,-0.49599028,0.6457281,-3.0802708,0.25615147,4.186228,0.35700226,-0.30581307,0.91701967,0.79092896,-0.06734701,0.60056865,-0.095984384,0.2780505,0.4422233,0.2879578,1,0,0,0,0,0,0,0,0,6.7141056,-10.410488,6.9574594,-7.9502344,6.423402,5.6271076,1.7533809,6.713867,-10.410518,6.980896,-7.9727173,6.4086914,5.6266785,1.7547607
-2.6647677,-11.533928,-2.4980567,-46.740986,6.4978466,1.0455344,0.5189686,0.8385542,-0.54238796,0.6235815,-0.477283,0.58840835,0.6041054,0.76666486,0.92096806,-0.061822917,1.4237624,1.1634965,1.6890007,-0.8304365,1.6601925,0.8423473,-0.010248383,1.3652638,1.2088549,1.6334605,-0.8886541,1.5848545,1.0469555,-0.5328524,0.7719745,-0.47397676,0.66020846,0.43859175,0.2657036,1.0469437,-0.53285223,0.771904,-0.47397614,0.66013336,0.43859482,0.26569366,2.5731983,-0.4947095,0.66641265,-3.0802708,0.25615147,4.136912,0.3583517,-0.30358386,0.9185655,0.7933262,-0.06814076,0.59798175,-0.09169596,0.26735786,0.44650912,0.30947196,1,0,0,0,0,0,0,0,0,5.9776545,-9.780455,6.5436006,-7.221246,5.662954,5.499649,1.5156507,5.970001,-9.780401,6.5231323,-7.209778,5.645752,5.493164,1.5258789
-3.1632264,-11.307439,-2.8380942,-45.51357,6.2450647,1.1089216,0.49550858,0.84489334,-0.56136066,0.6338902,-0.48541507,0.5968519,0.6152433,0.7741828,0.92683667,-0.06638445,1.4286529,1.1603134,1.6931458,-0.8271298,1.6622728,0.8477141,-0.013139528,1.3692769,1.2063248,1.6368861,-0.8863276,1.5862154,1.0734073,-0.5782289,0.8026272,-0.50604635,0.68508047,0.46533552,0.27217066,1.0733604,-0.5782291,0.8026123,-0.5060196,0.6851196,0.4652977,0.27217865,2.5577974,-0.4934287,0.6868506,-3.0802708,0.25615147,4.087596,0.35964727,-0.3013389,0.9202078,0.7958207,-0.06889272,0.5952385,-0.08726001,0.25627786,0.44945538,0.32875165,1,0,0,0,0,0,0,0,0,5.290365,-9.075296,6.1305404,-6.4139185,4.974401,5.348754,1.2934148,5.2833557,-9.075379,6.1416626,-6.4086914,4.9972534,5.340576,1.2969971
-3.6827142,-11.125997,-3.1906428,-44.691093,6.042715,1.1709303,0.4673249,0.84965634,-0.57973254,0.64296496,-0.4975142,0.60207814,0.624837,0.7824045,0.9326798,-0.07111278,1.4335734,1.1565734,1.697094,-0.82384396,1.6644558,0.8531973,-0.016241511,1.373433,1.2036479,1.6404185,-0.8838719,1.5876039,1.0965828,-0.62039673,0.83130085,-0.53543377,0.70643663,0.491176,0.27770495,1.0966301,-0.6203966,0.83122253,-0.53539276,0.70648193,0.49114227,0.27770996,2.5423965,-0.49214792,0.707042,-3.0802708,0.25615147,4.03828,0.3608842,-0.29908466,0.92193854,0.79839724,-0.06959967,0.59235114,-0.08269082,0.2446878,0.4512132,0.3463872,1,0,0,0,0,0,0,0,0,4.6350956,-8.433569,5.73473,-5.877483,4.271233,5.1680984,1.1068583,4.6539307,-8.433496,5.722046,-5.874634,4.272461,5.168915,1.1062622
-3.937283,-10.498325,-3.2811756,-44.027336,5.8466787,1.2002672,0.43800843,0.8552059,-0.5944262,0.65010715,-0.5089005,0.6066378,0.63459605,0.7892749,0.93871784,-0.07568413,1.4384437,1.1527578,1.7010823,-0.8204123,1.6665314,0.8587825,-0.019537067,1.3777226,1.2008345,1.6440415,-0.88129175,1.5890163,1.117071,-0.6591102,0.85790044,-0.5625795,0.7246178,0.51607496,0.28238985,1.1170387,-0.65911114,0.8579254,-0.56266785,0.72460175,0.5160332,0.28247833,2.5269957,-0.49086714,0.7269868,-3.0802708,0.25615147,3.988964,0.3620634,-0.29682517,0.9237502,0.8010418,-0.07026024,0.5893313,-0.078001,0.23283182,0.4521302,0.36259478,1,0,0,0,0,0,0,0,0,4.0976524,-7.742691,5.319917,-5.4291487,3.636229,4.9797893,0.93697906,4.081726,-7.7429056,5.340576,-5.455017,3.6239624,4.97818,0.9536743
-3.5707924,-8.728598,-2.7685037,-43.022434,5.5688825,1.159984,0.4114031,0.8595578,-0.6004882,0.6564747,-0.5119003,0.61089045,0.64212584,0.79528046,0.94473827,-0.07958589,1.4433701,1.1496445,1.7051306,-0.8170792,1.6685444,0.8644578,-0.023002526,1.3821353,1.1979039,1.6477418,-0.8785924,1.5904478,1.1350257,-0.69309044,0.88259053,-0.58619565,0.7400897,0.5399109,0.28631306,1.1350632,-0.69309175,0.8825302,-0.58612823,0.74005127,0.53987503,0.28629303,2.5115948,-0.48958635,0.7466851,-3.0802708,0.25615147,3.9396482,0.36318874,-0.29456186,0.9256327,0.8037385,-0.070873804,0.5861935,-0.07320089,0.22148317,0.45274302,0.37681323,1,0,0,0,0,0,0,0,0,3.5909414,-6.79605,4.9380183,-4.723227,3.094387,4.7671914,0.7846415,3.604889,-6.7961216,4.9209595,-4.6920776,3.0899048,4.7683716,0.76293945
-4.4181685,-9.360391,-3.4329972,-42.522583,5.462285,1.2540152,0.39204553,0.8620174,-0.6194175,0.6616758,-0.52362674,0.61472,0.65257895,0.8008092,0.9506595,-0.08494428,1.4483029,1.1455412,1.7092137,-0.81333447,1.6705287,0.8702099,-0.026629513,1.3866624,1.1948626,1.6515079,-0.8757781,1.5918955,1.1504332,-0.7253971,0.9053963,-0.60832185,0.75328004,0.5628596,0.2895453,1.1504173,-0.72539747,0.9054184,-0.6082535,0.753212,0.5628586,0.28953552,2.496194,-0.48830557,0.76613677,-3.0802708,0.25615147,3.8903322,0.36425304,-0.29230142,0.92758155,0.80647814,-0.07143647,0.58294487,-0.068300866,0.20929603,0.4520034,0.39004165,1,0,0,0,0,0,0,0,0,3.0814886,-6.461334,4.56115,-4.4252396,2.6380658,4.5897365,0.64644814,3.0708313,-6.4611435,4.5776367,-4.425049,2.632141,4.59671,0.64849854
-4.7948456,-9.252101,-3.652317,-41.60036,5.2869267,1.2941914,0.38052604,0.86546934,-0.6319141,0.6663206,-0.5253471,0.6193053,0.66009885,0.8044766,0.95675683,-0.08982092,1.4532944,1.1423279,1.7134384,-0.8097682,1.6723431,0.8760287,-0.030406525,1.3912953,1.191725,1.6553311,-0.8728546,1.5933565,1.1637706,-0.75540155,0.92653114,-0.6275122,0.76472336,0.58473444,0.29213372,1.1637688,-0.75540245,0.92658997,-0.6275177,0.76465607,0.5846977,0.2922058,2.480793,-0.48702478,0.78534186,-3.0802708,0.25615147,3.8410163,0.3652563,-0.2900493,0.9295883,0.8092502,-0.07194541,0.5795947,-0.0633076,0.19692776,0.45024484,0.4016587,1,0,0,0,0,0,0,0,0,2.6674747,-6.0008883,4.2269707,-3.8380742,2.2886634,4.374969,0.5176842,2.670288,-6.0009956,4.234314,-3.8528442,2.2888184,4.3678284,0.5340576
-5.2438874,-9.29847,-3.920481,-41.2689,5.19106,1.3343437,0.3641032,0.86749643,-0.64593613,0.67168766,-0.53554755,0.62310034,0.6679218,0.80875736,0.96277833,-0.09500014,1.458464,1.1381702,1.7176411,-0.8060624,1.6742322,0.8819043,-0.034324728,1.3960274,1.1884968,1.659204,-0.86982715,1.594827,1.1750747,-0.78364193,0.9463865,-0.64566207,0.7746273,0.6055107,0.29420114,1.1751175,-0.7836405,0.9464264,-0.6456375,0.7745743,0.6054878,0.29411316,2.465392,-0.485744,0.80430037,-3.0802708,0.25615147,3.7917004,0.36619568,-0.2878089,0.9316499,0.8120469,-0.07239895,0.5761489,-0.058228634,0.18411896,0.44766,0.41254106,1,0,0,0,0,0,0,0,0,2.260828,-5.6480765,3.971076,-3.6299706,1.9807935,4.1552544,0.41348338,2.2697449,-5.6476116,3.9672852,-3.6239624,1.9836426,4.15802,0.38146973
